# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
1.80011e-01 1.98000e+01 -3.00000e+02
1.80011e-01 2.00000e+01 -3.00000e+02
2.09997e-01 1.20000e+01 3.40974e+01
2.09997e-01 1.22000e+01 3.40961e+01
2.09997e-01 1.24000e+01 3.40948e+01
2.09997e-01 1.26000e+01 3.40926e+01
2.09997e-01 1.28000e+01 3.40891e+01
2.09997e-01 1.30000e+01 3.40840e+01
2.09997e-01 1.32000e+01 3.40760e+01
2.09997e-01 1.34000e+01 3.40646e+01
2.09997e-01 1.36000e+01 3.40461e+01
2.09997e-01 1.38000e+01 3.40203e+01
2.09997e-01 1.40000e+01 3.39817e+01
2.09997e-01 1.42000e+01 3.39283e+01
2.09997e-01 1.44000e+01 3.38519e+01
2.09997e-01 1.46000e+01 3.37434e+01
2.09997e-01 1.48000e+01 3.35806e+01
2.09997e-01 1.50000e+01 3.33578e+01
2.09997e-01 1.52000e+01 3.30277e+01
2.09997e-01 1.54000e+01 3.25471e+01
2.09997e-01 1.56000e+01 3.18536e+01
2.09997e-01 1.58000e+01 3.08828e+01
2.09997e-01 1.60000e+01 2.97129e+01
2.09997e-01 1.62000e+01 2.86885e+01
2.09997e-01 1.64000e+01 2.77507e+01
2.09997e-01 1.66000e+01 2.66806e+01
2.09997e-01 1.68000e+01 2.53569e+01
2.09997e-01 1.70000e+01 2.36783e+01
2.09997e-01 1.72000e+01 2.15022e+01
2.09997e-01 1.74000e+01 1.85526e+01
2.09997e-01 1.76000e+01 1.43034e+01
2.09997e-01 1.78000e+01 7.88666e+00
2.09997e-01 1.80000e+01 -2.04552e+00
2.09997e-01 1.82000e+01 -1.75521e+01
2.09997e-01 1.84000e+01 -4.20164e+01
2.09997e-01 1.86000e+01 -8.06295e+01
2.09997e-01 1.88000e+01 -3.00000e+02
2.09997e-01 1.90000e+01 -3.00000e+02
2.09997e-01 1.92000e+01 -3.00000e+02
2.09997e-01 1.94000e+01 -3.00000e+02
2.09997e-01 1.96000e+01 -3.00000e+02
2.09997e-01 1.98000e+01 -3.00000e+02
2.09997e-01 2.00000e+01 -3.00000e+02
2.40000e-01 1.20000e+01 3.42248e+01
2.40000e-01 1.22000e+01 3.42242e+01
2.40000e-01 1.24000e+01 3.42223e+01
2.40000e-01 1.26000e+01 3.42199e+01
2.40000e-01 1.28000e+01 3.42160e+01
2.40000e-01 1.30000e+01 3.42141e+01
2.40000e-01 1.32000e+01 3.42049e+01
2.40000e-01 1.34000e+01 3.41935e+01
2.40000e-01 1.36000e+01 3.41712e+01
2.40000e-01 1.38000e+01 3.41419e+01
2.40000e-01 1.40000e+01 3.40999e+01
2.40000e-01 1.42000e+01 3.40363e+01
2.40000e-01 1.44000e+01 3.39468e+01
2.40000e-01 1.46000e+01 3.38237e+01
2.40000e-01 1.48000e+01 3.36431e+01
2.40000e-01 1.50000e+01 3.33772e+01
