# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
1.80011e-01 1.44000e+01 2.57282e+01
1.80011e-01 1.46000e+01 2.57282e+01
1.80011e-01 1.48000e+01 2.57281e+01
1.80011e-01 1.50000e+01 2.57281e+01
1.80011e-01 1.52000e+01 2.57280e+01
1.80011e-01 1.54000e+01 2.57279e+01
1.80011e-01 1.56000e+01 2.57276e+01
1.80011e-01 1.58000e+01 2.57273e+01
1.80011e-01 1.60000e+01 2.57268e+01
1.80011e-01 1.62000e+01 2.57259e+01
1.80011e-01 1.64000e+01 2.57245e+01
1.80011e-01 1.66000e+01 2.57225e+01
1.80011e-01 1.68000e+01 2.57193e+01
1.80011e-01 1.70000e+01 2.57156e+01
1.80011e-01 1.72000e+01 2.57089e+01
1.80011e-01 1.74000e+01 2.56976e+01
1.80011e-01 1.76000e+01 2.56810e+01
1.80011e-01 1.78000e+01 2.56568e+01
1.80011e-01 1.80000e+01 2.56195e+01
1.80011e-01 1.82000e+01 2.55691e+01
1.80011e-01 1.84000e+01 2.54988e+01
1.80011e-01 1.86000e+01 2.53976e+01
1.80011e-01 1.88000e+01 2.52634e+01
1.80011e-01 1.90000e+01 2.50721e+01
1.80011e-01 1.92000e+01 2.47973e+01
1.80011e-01 1.94000e+01 2.43963e+01
1.80011e-01 1.96000e+01 2.38149e+01
1.80011e-01 1.98000e+01 2.29893e+01
1.80011e-01 2.00000e+01 2.19248e+01
2.09997e-01 1.20000e+01 2.58625e+01
2.09997e-01 1.22000e+01 2.58625e+01
2.09997e-01 1.24000e+01 2.58625e+01
2.09997e-01 1.26000e+01 2.58625e+01
2.09997e-01 1.28000e+01 2.58625e+01
2.09997e-01 1.30000e+01 2.58625e+01
2.09997e-01 1.32000e+01 2.58625e+01
2.09997e-01 1.34000e+01 2.58625e+01
2.09997e-01 1.36000e+01 2.58625e+01
2.09997e-01 1.38000e+01 2.58625e+01
2.09997e-01 1.40000e+01 2.58625e+01
2.09997e-01 1.42000e+01 2.58625e+01
2.09997e-01 1.44000e+01 2.58625e+01
2.09997e-01 1.46000e+01 2.58625e+01
2.09997e-01 1.48000e+01 2.58624e+01
2.09997e-01 1.50000e+01 2.58624e+01
2.09997e-01 1.52000e+01 2.58622e+01
2.09997e-01 1.54000e+01 2.58621e+01
2.09997e-01 1.56000e+01 2.58618e+01
2.09997e-01 1.58000e+01 2.58613e+01
2.09997e-01 1.60000e+01 2.58607e+01
2.09997e-01 1.62000e+01 2.58598e+01
2.09997e-01 1.64000e+01 2.58581e+01
2.09997e-01 1.66000e+01 2.58557e+01
2.09997e-01 1.68000e+01 2.58520e+01
2.09997e-01 1.70000e+01 2.58469e+01
2.09997e-01 1.72000e+01 2.58384e+01
2.09997e-01 1.74000e+01 2.58253e+01
2.09997e-01 1.76000e+01 2.58051e+01
2.09997e-01 1.78000e+01 2.57783e+01
2.09997e-01 1.80000e+01 2.57389e+01
2.09997e-01 1.82000e+01 2.56808e+01
2.09997e-01 1.84000e+01 2.56016e+01
2.09997e-01 1.86000e+01 2.54860e+01
2.09997e-01 1.88000e+01 2.53316e+01
2.09997e-01 1.90000e+01 2.51114e+01
2.09997e-01 1.92000e+01 2.47908e+01
2.09997e-01 1.94000e+01 2.43301e+01
2.09997e-01 1.96000e+01 2.36667e+01
2.09997e-01 1.98000e+01 2.27491e+01
2.09997e-01 2.00000e+01 2.16840e+01
2.40000e-01 1.20000e+01 2.59895e+01
2.40000e-01 1.22000e+01 2.59895e+01
2.40000e-01 1.24000e+01 2.59895e+01
2.40000e-01 1.26000e+01 2.59895e+01
2.40000e-01 1.28000e+01 2.59895e+01
2.40000e-01 1.30000e+01 2.59895e+01
2.40000e-01 1.32000e+01 2.59895e+01
2.40000e-01 1.34000e+01 2.59895e+01
2.40000e-01 1.36000e+01 2.59895e+01
2.40000e-01 1.38000e+01 2.59895e+01
2.40000e-01 1.40000e+01 2.59895e+01
2.40000e-01 1.42000e+01 2.59895e+01
2.40000e-01 1.44000e+01 2.59895e+01
2.40000e-01 1.46000e+01 2.59894e+01
2.40000e-01 1.48000e+01 2.59894e+01
2.40000e-01 1.50000e+01 2.59901e+01
2.40000e-01 1.52000e+01 2.59900e+01
2.40000e-01 1.54000e+01 2.59898e+01
2.40000e-01 1.56000e+01 2.59874e+01
2.40000e-01 1.58000e+01 2.59869e+01
2.40000e-01 1.60000e+01 2.59862e+01
