# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
1.80011e-01 1.80000e+01 2.58505e+01
1.80011e-01 1.82000e+01 2.58056e+01
1.80011e-01 1.84000e+01 2.57392e+01
1.80011e-01 1.86000e+01 2.56509e+01
1.80011e-01 1.88000e+01 2.55337e+01
1.80011e-01 1.90000e+01 2.53573e+01
1.80011e-01 1.92000e+01 2.51073e+01
1.80011e-01 1.94000e+01 2.47503e+01
1.80011e-01 1.96000e+01 2.42355e+01
1.80011e-01 1.98000e+01 2.35032e+01
1.80011e-01 2.00000e+01 2.25208e+01
2.09997e-01 1.20000e+01 2.60827e+01
2.09997e-01 1.22000e+01 2.60827e+01
2.09997e-01 1.24000e+01 2.60827e+01
2.09997e-01 1.26000e+01 2.60827e+01
2.09997e-01 1.28000e+01 2.60827e+01
2.09997e-01 1.30000e+01 2.60827e+01
2.09997e-01 1.32000e+01 2.60827e+01
2.09997e-01 1.34000e+01 2.60827e+01
2.09997e-01 1.36000e+01 2.60827e+01
2.09997e-01 1.38000e+01 2.60827e+01
2.09997e-01 1.40000e+01 2.60827e+01
2.09997e-01 1.42000e+01 2.60826e+01
2.09997e-01 1.44000e+01 2.60826e+01
2.09997e-01 1.46000e+01 2.60826e+01
2.09997e-01 1.48000e+01 2.60826e+01
2.09997e-01 1.50000e+01 2.60825e+01
2.09997e-01 1.52000e+01 2.60834e+01
2.09997e-01 1.54000e+01 2.60832e+01
2.09997e-01 1.56000e+01 2.60830e+01
2.09997e-01 1.58000e+01 2.60827e+01
2.09997e-01 1.60000e+01 2.60821e+01
2.09997e-01 1.62000e+01 2.60813e+01
2.09997e-01 1.64000e+01 2.60800e+01
2.09997e-01 1.66000e+01 2.60779e+01
2.09997e-01 1.68000e+01 2.60745e+01
2.09997e-01 1.70000e+01 2.60698e+01
2.09997e-01 1.72000e+01 2.60630e+01
2.09997e-01 1.74000e+01 2.60513e+01
2.09997e-01 1.76000e+01 2.60343e+01
2.09997e-01 1.78000e+01 2.60100e+01
2.09997e-01 1.80000e+01 2.59757e+01
2.09997e-01 1.82000e+01 2.59254e+01
2.09997e-01 1.84000e+01 2.58517e+01
2.09997e-01 1.86000e+01 2.57511e+01
2.09997e-01 1.88000e+01 2.56081e+01
2.09997e-01 1.90000e+01 2.54056e+01
2.09997e-01 1.92000e+01 2.51207e+01
2.09997e-01 1.94000e+01 2.47048e+01
2.09997e-01 1.96000e+01 2.41159e+01
2.09997e-01 1.98000e+01 2.32965e+01
2.09997e-01 2.00000e+01 2.22689e+01
2.40000e-01 1.20000e+01 2.62104e+01
2.40000e-01 1.22000e+01 2.62104e+01
2.40000e-01 1.24000e+01 2.62104e+01
2.40000e-01 1.26000e+01 2.62104e+01
2.40000e-01 1.28000e+01 2.62104e+01
2.40000e-01 1.30000e+01 2.62104e+01
2.40000e-01 1.32000e+01 2.62104e+01
2.40000e-01 1.34000e+01 2.62104e+01
2.40000e-01 1.36000e+01 2.62104e+01
2.40000e-01 1.38000e+01 2.62104e+01
2.40000e-01 1.40000e+01 2.62104e+01
2.40000e-01 1.42000e+01 2.62104e+01
2.40000e-01 1.44000e+01 2.62104e+01
2.40000e-01 1.46000e+01 2.62104e+01
2.40000e-01 1.48000e+01 2.62103e+01
2.40000e-01 1.50000e+01 2.62103e+01
2.40000e-01 1.52000e+01 2.62102e+01
2.40000e-01 1.54000e+01 2.62100e+01
2.40000e-01 1.56000e+01 2.62098e+01
2.40000e-01 1.58000e+01 2.62094e+01
2.40000e-01 1.60000e+01 2.62088e+01
2.40000e-01 1.62000e+01 2.62079e+01
2.40000e-01 1.64000e+01 2.62057e+01
2.40000e-01 1.66000e+01 2.62020e+01
2.40000e-01 1.68000e+01 2.61984e+01
2.40000e-01 1.70000e+01 2.61931e+01
2.40000e-01 1.72000e+01 2.61843e+01
2.40000e-01 1.74000e+01 2.61726e+01
2.40000e-01 1.76000e+01 2.61551e+01
2.40000e-01 1.78000e+01 2.61260e+01
2.40000e-01 1.80000e+01 2.60862e+01
2.40000e-01 1.82000e+01 2.60276e+01
2.40000e-01 1.84000e+01 2.59461e+01
2.40000e-01 1.86000e+01 2.58317e+01
2.40000e-01 1.88000e+01 2.56726e+01
2.40000e-01 1.90000e+01 2.54431e+01
2.40000e-01 1.92000e+01 2.51174e+01
2.40000e-01 1.94000e+01 2.46479e+01
2.40000e-01 1.96000e+01 2.39832e+01
2.40000e-01 1.98000e+01 2.30836e+01
2.40000e-01 2.00000e+01 2.20856e+01
2.70003e-01 1.20000e+01 2.63392e+01
2.70003e-01 1.22000e+01 2.63392e+01
2.70003e-01 1.24000e+01 2.63392e+01
2.70003e-01 1.26000e+01 2.63392e+01
2.70003e-01 1.28000e+01 2.63392e+01
2.70003e-01 1.30000e+01 2.63392e+01
2.70003e-01 1.32000e+01 2.63392e+01
2.70003e-01 1.34000e+01 2.63392e+01
2.70003e-01 1.36000e+01 2.63392e+01
2.70003e-01 1.38000e+01 2.63392e+01
2.70003e-01 1.40000e+01 2.63391e+01
2.70003e-01 1.42000e+01 2.63391e+01
2.70003e-01 1.44000e+01 2.63391e+01
2.70003e-01 1.46000e+01 2.63391e+01
2.70003e-01 1.48000e+01 2.63390e+01
2.70003e-01 1.50000e+01 2.63390e+01
2.70003e-01 1.52000e+01 2.63389e+01
2.70003e-01 1.54000e+01 2.63387e+01
2.70003e-01 1.56000e+01 2.63384e+01
2.70003e-01 1.58000e+01 2.63379e+01
2.70003e-01 1.60000e+01 2.63372e+01
2.70003e-01 1.62000e+01 2.63361e+01
2.70003e-01 1.64000e+01 2.63334e+01
2.70003e-01 1.66000e+01 2.63293e+01
