# LS220 with Mdot = 1e-6
# eps       mAp [MeV]   r [cm]      t_stop [s]  efficiency
1.50000e-14 2.57883e+00 7.82440e+13 2.31182e+03 6.56666e-03
1.50000e-14 2.57883e+00 9.08402e+13 2.68399e+03 5.65610e-03
1.50000e-14 2.57883e+00 1.05464e+14 3.11608e+03 4.87181e-03
1.50000e-14 2.57883e+00 1.22443e+14 3.61773e+03 4.19627e-03
1.50000e-14 2.57883e+00 1.42154e+14 4.20013e+03 3.61440e-03
1.50000e-14 2.57883e+00 1.65039e+14 4.87629e+03 3.11321e-03
1.50000e-14 2.57883e+00 1.91608e+14 5.66129e+03 2.68152e-03
1.50000e-14 2.57883e+00 2.22454e+14 6.57265e+03 2.30969e-03
1.50000e-14 2.57883e+00 2.58266e+14 7.63071e+03 1.98941e-03
1.50000e-14 2.57883e+00 2.99844e+14 8.85912e+03 1.71355e-03
1.50000e-14 2.57883e+00 3.48114e+14 1.02853e+04 1.47593e-03
1.50000e-14 2.57883e+00 4.04156e+14 1.19411e+04 1.27127e-03
1.50000e-14 2.57883e+00 4.69219e+14 1.38634e+04 1.09499e-03
1.50000e-14 2.57883e+00 5.44757e+14 1.60952e+04 9.43152e-04
1.50000e-14 2.57883e+00 6.32456e+14 1.86864e+04 8.12370e-04
1.50000e-14 2.57883e+00 7.34272e+14 2.16946e+04 6.99723e-04
1.50000e-14 2.57883e+00 8.52480e+14 2.51871e+04 6.02695e-04
1.50000e-14 2.57883e+00 9.89717e+14 2.92419e+04 5.19122e-04
1.50000e-14 2.57883e+00 1.14905e+15 3.39494e+04 4.47137e-04
1.50000e-14 2.57883e+00 1.33403e+15 3.94146e+04 3.85131e-04
1.50000e-14 2.57883e+00 1.54879e+15 4.57597e+04 3.31723e-04
1.50000e-14 2.57883e+00 1.79812e+15 5.31262e+04 2.85722e-04
1.50000e-14 2.57883e+00 2.08760e+15 6.16785e+04 2.46098e-04
1.50000e-14 2.57883e+00 2.42367e+15 7.16075e+04 2.11970e-04
1.50000e-14 2.57883e+00 2.81385e+15 8.31349e+04 1.82574e-04
1.50000e-14 2.57883e+00 3.26684e+15 9.65181e+04 1.57254e-04
1.50000e-14 2.57883e+00 3.79275e+15 1.12056e+05 1.35445e-04
1.50000e-14 2.57883e+00 4.40334e+15 1.30094e+05 1.16661e-04
1.50000e-14 2.57883e+00 5.11221e+15 1.51035e+05 1.00480e-04
1.50000e-14 2.57883e+00 5.93521e+15 1.75347e+05 8.65432e-05
1.50000e-14 2.57883e+00 6.89069e+15 2.03572e+05 7.45394e-05
1.50000e-14 2.57883e+00 8.00000e+15 2.36354e+05 6.42037e-05
1.50000e-14 2.92356e+00 5.00000e+13 1.47721e+03 1.01138e-02
1.50000e-14 2.92356e+00 5.80493e+13 1.71503e+03 8.71139e-03
1.50000e-14 2.92356e+00 6.73944e+13 1.99112e+03 7.50342e-03
1.50000e-14 2.92356e+00 7.82440e+13 2.31166e+03 6.46296e-03
1.50000e-14 2.92356e+00 9.08402e+13 2.68381e+03 5.56679e-03
1.50000e-14 2.92356e+00 1.05464e+14 3.11586e+03 4.79488e-03
1.50000e-14 2.92356e+00 1.22443e+14 3.61747e+03 4.13000e-03
1.50000e-14 2.92356e+00 1.42154e+14 4.19983e+03 3.55731e-03
1.50000e-14 2.92356e+00 1.65039e+14 4.87595e+03 3.06403e-03
1.50000e-14 2.92356e+00 1.91608e+14 5.66090e+03 2.63916e-03
1.50000e-14 2.92356e+00 2.22454e+14 6.57223e+03 2.27320e-03
1.50000e-14 2.92356e+00 2.58266e+14 7.63027e+03 1.95799e-03
1.50000e-14 2.92356e+00 2.99844e+14 8.85863e+03 1.68649e-03
1.50000e-14 2.92356e+00 3.48114e+14 1.02847e+04 1.45262e-03
1.50000e-14 2.92356e+00 4.04156e+14 1.19404e+04 1.25119e-03
1.50000e-14 2.92356e+00 4.69219e+14 1.38628e+04 1.07770e-03
1.50000e-14 2.92356e+00 5.44757e+14 1.60951e+04 9.28298e-04
1.50000e-14 2.92356e+00 6.32456e+14 1.86870e+04 7.99604e-04
1.50000e-14 2.92356e+00 7.34272e+14 2.16959e+04 6.88743e-04
1.50000e-14 2.92356e+00 8.52480e+14 2.51886e+04 5.93235e-04
1.50000e-14 2.92356e+00 9.89717e+14 2.92435e+04 5.10970e-04
1.50000e-14 2.92356e+00 1.14905e+15 3.39512e+04 4.40113e-04
1.50000e-14 2.92356e+00 1.33403e+15 3.94168e+04 3.79080e-04
1.50000e-14 2.92356e+00 1.54879e+15 4.57622e+04 3.26511e-04
1.50000e-14 2.92356e+00 1.79812e+15 5.31290e+04 2.81231e-04
1.50000e-14 2.92356e+00 2.08760e+15 6.16814e+04 2.42228e-04
1.50000e-14 2.92356e+00 2.42367e+15 7.16105e+04 2.08633e-04
1.50000e-14 2.92356e+00 2.81385e+15 8.31379e+04 1.79698e-04
1.50000e-14 2.92356e+00 3.26684e+15 9.65237e+04 1.54779e-04
1.50000e-14 2.92356e+00 3.79275e+15 1.12065e+05 1.33315e-04
1.50000e-14 2.92356e+00 4.40334e+15 1.30108e+05 1.14828e-04
1.50000e-14 2.92356e+00 5.11221e+15 1.51052e+05 9.88995e-05
1.50000e-14 2.92356e+00 5.93521e+15 1.75366e+05 8.51806e-05
1.50000e-14 2.92356e+00 6.89069e+15 2.03595e+05 7.33646e-05
1.50000e-14 2.92356e+00 8.00000e+15 2.36372e+05 6.31874e-05
1.50000e-14 3.31438e+00 5.00000e+13 1.47688e+03 9.74115e-03
1.50000e-14 3.31438e+00 5.80493e+13 1.71463e+03 8.39035e-03
1.50000e-14 3.31438e+00 6.73944e+13 1.99066e+03 7.22687e-03
1.50000e-14 3.31438e+00 7.82440e+13 2.31112e+03 6.22474e-03
1.50000e-14 3.31438e+00 9.08402e+13 2.68317e+03 5.36157e-03
1.50000e-14 3.31438e+00 1.05464e+14 3.11511e+03 4.61810e-03
1.50000e-14 3.31438e+00 1.22443e+14 3.61660e+03 3.97774e-03
1.50000e-14 3.31438e+00 1.42154e+14 4.19882e+03 3.42617e-03
1.50000e-14 3.31438e+00 1.65039e+14 4.87477e+03 2.95109e-03
1.50000e-14 3.31438e+00 1.91608e+14 5.65954e+03 2.54188e-03
1.50000e-14 3.31438e+00 2.22454e+14 6.57065e+03 2.18941e-03
1.50000e-14 3.31438e+00 2.58266e+14 7.62843e+03 1.88582e-03
1.50000e-14 3.31438e+00 2.99844e+14 8.85649e+03 1.62432e-03
1.50000e-14 3.31438e+00 3.48114e+14 1.02822e+04 1.39908e-03
1.50000e-14 3.31438e+00 4.04156e+14 1.19375e+04 1.20507e-03
1.50000e-14 3.31438e+00 4.69219e+14 1.38592e+04 1.03797e-03
1.50000e-14 3.31438e+00 5.44757e+14 1.60904e+04 8.94037e-04
1.50000e-14 3.31438e+00 6.32456e+14 1.86807e+04 7.70064e-04
1.50000e-14 3.31438e+00 7.34272e+14 2.16880e+04 6.63281e-04
1.50000e-14 3.31438e+00 8.52480e+14 2.51794e+04 5.71304e-04
1.50000e-14 3.31438e+00 9.89717e+14 2.92329e+04 4.92082e-04
1.50000e-14 3.31438e+00 1.14905e+15 3.39390e+04 4.23847e-04
1.50000e-14 3.31438e+00 1.33403e+15 3.94036e+04 3.65080e-04
1.50000e-14 3.31438e+00 1.54879e+15 4.57481e+04 3.14462e-04
1.50000e-14 3.31438e+00 1.79812e+15 5.31142e+04 2.70862e-04
1.50000e-14 3.31438e+00 2.08760e+15 6.16675e+04 2.33311e-04
1.50000e-14 3.31438e+00 2.42367e+15 7.15983e+04 2.00967e-04
1.50000e-14 3.31438e+00 2.81385e+15 8.31281e+04 1.73106e-04
1.50000e-14 3.31438e+00 3.26684e+15 9.65087e+04 1.49097e-04
1.50000e-14 3.31438e+00 3.79275e+15 1.12043e+05 1.28418e-04
1.50000e-14 3.31438e+00 4.40334e+15 1.30078e+05 1.10607e-04
